iter	Passed	Remaining
0	1	1736
1	2	1292
2	3	1279
3	5	1263
4	6	1266
5	7	1281
6	9	1277
7	10	1265
8	11	1262
9	12	1260
10	14	1261
11	15	1260
12	16	1221
13	17	1222
14	18	1223
15	19	1222
16	21	1226
17	22	1229
18	23	1229
19	25	1227
20	26	1222
21	28	1246
22	29	1247
23	30	1243
24	31	1239
25	33	1243
26	34	1240
27	35	1237
28	36	1234
29	38	1230
30	39	1229
31	40	1228
32	41	1224
33	43	1222
34	44	1220
35	45	1218
36	46	1216
37	47	1213
38	49	1210
39	50	1207
40	51	1204
41	53	1213
42	54	1223
43	56	1220
44	57	1218
45	59	1227
46	60	1226
47	61	1224
48	62	1222
49	64	1220
50	65	1219
51	68	1254
52	70	1255
53	71	1255
54	73	1255
55	74	1255
56	75	1247
57	76	1245
58	77	1243
59	79	1240
60	80	1239
61	81	1237
62	83	1236
63	84	1238
64	86	1238
65	87	1235
66	88	1233
67	89	1230
68	91	1229
69	92	1227
70	93	1225
71	94	1224
72	96	1223
73	97	1221
74	98	1219
75	100	1217
76	101	1215
77	102	1214
78	104	1212
79	105	1209
80	106	1206
81	107	1203
82	108	1199
83	110	1200
84	111	1198
85	112	1196
86	113	1192
87	114	1189
88	116	1188
89	117	1185
90	118	1182
91	119	1179
92	120	1176
93	121	1173
94	122	1171
95	124	1168
96	125	1165
97	126	1162
98	127	1160
99	128	1157
100	129	1155
101	131	1153
102	132	1151
103	133	1148
104	134	1146
105	135	1143
106	136	1142
107	138	1140
108	139	1137
109	140	1135
110	141	1132
111	142	1130
112	143	1128
113	144	1126
114	146	1123
115	147	1121
116	148	1119
117	149	1117
118	150	1115
119	151	1113
120	153	1111
121	154	1109
122	155	1108
123	156	1106
124	157	1104
125	158	1102
126	160	1100
127	161	1098
128	162	1097
129	163	1095
130	164	1093
131	166	1092
132	167	1091
133	168	1091
134	170	1090
135	171	1089
136	172	1088
137	174	1087
138	175	1086
139	176	1085
140	177	1084
141	179	1083
142	181	1089
143	183	1092
144	185	1091
145	190	1111
146	191	1112
147	193	1112
148	197	1125
149	200	1136
150	201	1134
151	203	1134
152	204	1133
153	206	1136
154	208	1137
155	210	1136
156	211	1135
157	213	1136
158	214	1134
159	215	1132
160	216	1130
161	218	1128
162	219	1127
163	221	1127
164	222	1125
165	223	1123
166	224	1121
167	226	1121
168	227	1119
169	228	1117
170	230	1115
171	231	1115
172	232	1113
173	234	1111
174	235	1109
175	236	1106
176	238	1107
177	239	1105
178	240	1103
179	241	1101
180	242	1099
181	244	1097
182	245	1095
183	246	1093
184	247	1092
185	249	1090
186	251	1091
187	252	1090
188	253	1089
189	255	1087
190	257	1092
191	259	1091
192	260	1090
193	261	1088
194	263	1087
195	264	1085
196	265	1083
197	267	1082
198	268	1080
199	269	1079
200	271	1078
201	272	1076
202	273	1075
203	275	1073
204	276	1074
205	278	1072
206	279	1070
207	280	1068
208	282	1068
209	283	1066
210	284	1063
211	285	1061
212	286	1060
213	288	1058
214	289	1057
215	291	1056
216	292	1054
217	293	1053
218	296	1056
219	297	1054
