gender,age,annual_income,spending_score,PCA1,PCA2,age_group,income_level
Male,19,15000,39,-45559.99997500885,-5.836252518017474,young_adult,low-income
Male,21,15000,81,-45559.999579263385,34.57923409813854,young_adult,low-income
Female,20,16000,6,-44560.00030297673,-38.19337861566825,young_adult,middle-income
Female,23,16000,77,-44559.999631466475,30.21561098997246,young_adult,middle-income
Female,31,17000,40,-43560.0000445381,-7.64352593768362,adult,middle-income
Female,22,17000,76,-43559.99963467817,29.461275329177596,young_adult,middle-income
Female,35,18000,6,-42560.000402024365,-41.663499562353934,adult,middle-income
Female,23,18000,94,-42559.999466084104,46.738367200494494,young_adult,middle-income
Male,64,19000,3,-41560.00062252779,-51.260550811937435,seniors,middle-income
Female,30,19000,72,-41559.99972651414,23.70740553109053,adult,middle-income
Male,67,19000,14,-41560.00053520806,-41.244758816846925,seniors,middle-income
Female,35,19000,99,-41559.99949659819,48.8349651777653,adult,middle-income
Female,58,20000,15,-40560.00046619508,-38.2136477123736,middle_age,middle-income
Female,24,20000,77,-40559.99963833699,29.9417689094235,young_adult,middle-income
Male,37,20000,13,-40560.000347195004,-35.3326946648194,adult,middle-income
Male,22,20000,79,-40559.99960567606,32.34796054100431,young_adult,middle-income
Female,35,21000,35,-39560.00011987303,-13.47309538595546,adult,middle-income
Male,20,21000,66,-39559.9997191319,20.14486121371396,young_adult,middle-income
Male,52,23000,29,-37560.000290527634,-23.24228780492529,middle_age,middle-income
Female,35,23000,98,-37559.99950661125,47.817778992655064,adult,middle-income
Male,35,24000,35,-36560.00012008045,-13.50607005465626,adult,middle-income
Male,25,24000,73,-36559.99968415355,25.775046988171198,young_adult,middle-income
Female,46,25000,5,-35560.00048477838,-45.242294827925186,middle_age,middle-income
Male,31,25000,73,-35559.99972378643,24.384800298250205,adult,middle-income
Female,54,28000,14,-32560.000450108877,-38.35529669995997,middle_age,middle-income
Male,29,28000,82,-32559.99962317735,33.57055698236107,adult,middle-income
Female,45,28000,32,-32560.000215506105,-18.76845471626382,middle_age,middle-income
Male,35,28000,61,-32559.999867207778,11.7536826849811,adult,middle-income
Female,40,29000,31,-31560.00019234197,-18.603286954600428,adult,middle-income
Female,23,29000,87,-31559.999535000206,39.80492036069404,young_adult,middle-income
Male,60,30000,4,-30560.000587175986,-49.48873454787293,middle_age,middle-income
Female,21,30000,73,-30559.999658192555,26.628601073227856,young_adult,middle-income
Male,53,33000,4,-27560.00054122571,-47.912578227271766,middle_age,middle-income
Male,18,33000,92,-27559.999453624434,45.77643321471166,teen,middle-income
Female,49,33000,14,-27560.000417484793,-37.260875203055136,middle_age,middle-income
Female,21,33000,81,-27559.9995805079,34.381386085933755,young_adult,middle-income
Female,42,34000,17,-26560.0003421867,-32.74307588945927,middle_age,middle-income
Female,30,34000,73,-26559.99971781473,24.515752147762377,adult,middle-income
Female,36,37000,26,-23560.0002152018,-22.637815782890144,adult,middle-income
Female,20,37000,75,-23559.999632609557,28.727975955558904,young_adult,middle-income
Female,65,38000,35,-22560.000318867118,-20.556227510363605,seniors,middle-income
Male,24,38000,92,-22559.99949353387,44.34222029985628,young_adult,middle-income
Male,48,39000,36,-21560.000197102476,-15.686109560973755,middle_age,middle-income
Female,31,39000,61,-21559.999841592493,12.552278988869773,adult,middle-income
Female,49,39000,28,-21560.000281588502,-23.701745097995015,middle_age,middle-income
Female,24,39000,65,-21559.999756488753,18.054289818875077,young_adult,middle-income
Female,50,40000,55,-20560.000025365865,2.3343264149044103,middle_age,middle-income
Female,27,40000,47,-20559.999951596925,-0.16428858736728102,adult,middle-income
Female,29,40000,42,-20560.000013467383,-5.490140099475596,adult,middle-income
Female,31,40000,42,-20560.000026655296,-5.949891810704727,adult,middle-income
Female,49,42000,52,-18560.000048119713,-0.37744072247573257,middle_age,high-income
Male,33,42000,60,-18559.999864724326,11.086332648764007,adult,high-income
Female,31,43000,54,-17559.999910024606,5.695773042704516,adult,high-income
Male,59,43000,60,-17560.00003623635,5.098568846551714,middle_age,high-income
Female,50,43000,45,-17560.00012293837,-7.430847855554752,middle_age,high-income
Male,47,43000,41,-17560.00014210253,-10.634100129414406,middle_age,high-income
Female,51,44000,50,-16560.000080918922,-2.805615466523733,middle_age,high-income
Male,69,44000,46,-16560.000238556182,-10.836260708289252,seniors,high-income
Female,27,46000,51,-14559.999913065723,3.662641915934472,adult,high-income
Male,53,46000,46,-14560.000133191148,-7.180230130923405,middle_age,high-income
Male,70,46000,56,-14560.000147923325,-1.355920074612655,seniors,high-income
Male,19,46000,55,-14559.99982136803,9.394528601554342,young_adult,high-income
Female,67,47000,52,-13560.000167156635,-4.5701639047059,seniors,high-income
Female,54,47000,59,-13560.000013279634,5.230761939514302,middle_age,high-income
Male,63,48000,51,-12560.00015058645,-4.634871998657076,seniors,high-income
Male,18,48000,59,-12559.999775966324,13.495301185405054,teen,high-income
Female,43,48000,50,-12560.000028443821,-1.0105748465416085,middle_age,high-income
Female,68,48000,48,-12560.000212765764,-8.703911157257412,seniors,high-income
Male,19,48000,59,-12559.999782560277,13.265425329790489,young_adult,high-income
Female,32,48000,47,-12559.999985119823,-1.4016003153089045,adult,high-income
Male,70,49000,55,-11560.00015786726,-2.362114703489283,seniors,high-income
Female,47,49000,42,-11560.000132780864,-9.726829506640165,middle_age,high-income
Female,60,50000,49,-10560.000150415879,-5.913667464632255,middle_age,high-income
Female,60,50000,56,-10560.000082260318,0.898872256598608,middle_age,high-income
Male,59,54000,47,-6560.000163571502,-7.6741977543037585,middle_age,high-income
Male,26,54000,54,-6559.99987781536,6.724245202207754,adult,high-income
Female,45,54000,53,-6560.000012837045,1.3833839853551737,middle_age,high-income
Male,40,54000,48,-6560.00002854981,-2.3333365374511814,adult,high-income
Female,23,54000,52,-6559.999877506503,5.467432848699772,young_adult,high-income
Female,49,54000,42,-6560.00014631448,-10.241538999037289,middle_age,high-income
Male,57,54000,51,-6560.000111437548,-3.3215662023712795,middle_age,high-income
Male,38,54000,55,-6559.999947206328,4.938954895008806,adult,high-income
Male,67,54000,41,-6560.000274742211,-15.3525243602753,seniors,high-income
Female,46,54000,44,-6560.000107059583,-7.60547151184192,middle_age,high-income
Female,21,54000,57,-6559.999815636045,10.793284360808087,young_adult,high-income
Male,48,54000,46,-6560.0001007744795,-6.118783302719379,middle_age,high-income
Female,55,57000,58,-3560.0000303014895,3.917750561387912,middle_age,high-income
Female,22,57000,55,-3559.9998419104377,8.583993916141054,young_adult,high-income
Female,34,58000,60,-2559.999872424516,10.680591893411858,adult,high-income
Female,50,58000,46,-2560.000114238952,-6.622501238882904,middle_age,high-income
Female,68,59000,55,-1560.0001453707373,-2.0122785545961435,seniors,high-income
Male,18,59000,41,-1559.999951984013,-4.143565216329598,teen,high-income
Male,48,60000,49,-560.0000719797899,-3.2650727595934583,middle_age,high-income
Female,40,60000,40,-560.0001068567144,-10.185045556259471,adult,high-income
Female,32,60000,42,-560.0000346320448,-6.399598790991277,adult,high-income
Male,24,60000,52,-559.9998845153023,5.171607655683616,young_adult,high-income
Female,47,60000,47,-560.0000848588534,-4.981636824330572,middle_age,high-income
Female,27,60000,50,-559.999923770185,2.5355401684882466,adult,high-income
Male,48,61000,42,439.9998597955055,-10.08860403705792,middle_age,high-income
Male,20,61000,49,440.00011258186714,3.1604596413807684,young_adult,high-income
Female,23,62000,41,1440.0000148387844,-5.325919163103222,young_adult,high-income
Female,49,62000,48,1439.9999115514656,-4.490151687851061,middle_age,high-income
Male,67,62000,59,1439.9998999618329,2.077502473020971,seniors,high-income
Male,26,62000,55,1440.0001313680332,7.609532712514799,adult,high-income
Male,49,62000,56,1439.9999894435387,3.2956079935556346,middle_age,high-income
Female,21,62000,42,1440.0000377632023,-3.8929474916982585,young_adult,high-income
Female,66,63000,50,2439.999818858072,-6.462592869180597,seniors,high-income
Male,54,63000,46,2439.999859039519,-7.596962442509163,middle_age,high-income
Male,68,63000,43,2439.9997375145977,-13.734884301640584,seniors,high-income
Male,66,63000,48,2439.9997993850557,-8.409032789532269,seniors,high-income
Male,65,63000,52,2439.9998449250415,-4.286277093214359,seniors,high-income
Female,19,63000,54,2440.0001677200853,8.234452185407314,young_adult,high-income
Female,38,64000,42,3439.999925527656,-7.822820149613065,adult,high-income
Male,19,64000,46,3440.000089758876,0.43770094776701995,young_adult,high-income
Female,18,65000,48,4440.000115756709,2.603025167499659,teen,high-income
Female,19,65000,50,4440.000128635773,4.319589232236773,young_adult,high-income
Female,63,65000,43,4439.999770346105,-12.607488136034956,seniors,high-income
Female,49,65000,59,4440.000018445637,6.182293205382344,middle_age,high-income
Female,51,67000,43,6439.999849335305,-9.870960981127372,middle_age,high-income
Female,50,67000,57,6439.99999224038,3.983994316948909,middle_age,high-income
Male,27,67000,56,6440.0001341648895,8.297919035908073,adult,high-income
Female,38,67000,40,6439.999905847231,-9.802234738665536,adult,high-income
Female,40,69000,58,8440.000067778194,7.233989720803201,adult,high-income
Male,39,69000,91,8440.000395676936,39.58012426222038,adult,high-income
Female,23,70000,29,9439.99989744756,-17.092491135082064,young_adult,high-income
Female,31,70000,77,9440.00031204833,27.78306010844159,adult,high-income
Male,43,71000,35,10439.999823918333,-15.861680042551946,middle_age,high-income
Male,40,71000,95,10440.000427890729,43.22114513484196,adult,high-income
Male,59,71000,11,10439.999484738815,-42.896972776605075,middle_age,high-income
Male,38,71000,75,10440.00024634847,24.21649764255436,adult,high-income
Male,47,71000,9,10439.999544393271,-42.084902429581966,middle_age,high-income
Male,39,71000,75,10440.000239754503,23.986621786939793,adult,high-income
