,gender,age,annual_income,spending_score,age_group,income_level,spending_behavior,25th_percentile,75th_percentile,buying_power,credit_risk,opportunity,cumulative_spending_score,percentage_of_total_spending_score
0,Male,19,15000,39,young_adult,low-income,moderate-spender,21750.0,62750.0,Low Buying Power,High Risk,Low Opportunity,39,0.3884462151394422
1,Male,21,15000,81,young_adult,low-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,120,1.1952191235059761
2,Female,20,16000,6,young_adult,middle-income,low-spender,21750.0,62750.0,Low Buying Power,High Risk,Low Opportunity,126,1.254980079681275
3,Female,23,16000,77,young_adult,middle-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,203,2.0219123505976095
4,Female,31,17000,40,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,243,2.4203187250996017
5,Female,22,17000,76,young_adult,middle-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,319,3.1772908366533863
6,Female,35,18000,6,adult,middle-income,low-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,325,3.237051792828685
7,Female,23,18000,94,young_adult,middle-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,419,4.173306772908367
8,Male,64,19000,3,seniors,middle-income,low-spender,46000.0,63000.0,Low Buying Power,High Risk,Low Opportunity,422,4.203187250996017
9,Female,30,19000,72,adult,middle-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,494,4.920318725099602
10,Male,67,19000,14,seniors,middle-income,low-spender,46000.0,63000.0,Low Buying Power,High Risk,Low Opportunity,508,5.059760956175299
11,Female,35,19000,99,adult,middle-income,premium-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,607,6.0458167330677295
12,Female,58,20000,15,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,622,6.195219123505976
13,Female,24,20000,77,young_adult,middle-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,699,6.962151394422311
